dataset_id,dataset_name,row_index,true_label,true_label_display,dbscan_label,ss_dbscan_label,important_point,importance_score
synthetic,synthetic_varied_density.csv,0,0,0,1,1,True,8.294077
synthetic,synthetic_varied_density.csv,1,0,0,1,1,False,1.131507
synthetic,synthetic_varied_density.csv,2,0,0,1,-1,False,1.135246
synthetic,synthetic_varied_density.csv,3,0,0,1,1,True,8.038377
synthetic,synthetic_varied_density.csv,4,0,0,1,1,True,7.947063
synthetic,synthetic_varied_density.csv,5,0,0,1,1,False,1.142950
synthetic,synthetic_varied_density.csv,6,0,0,1,1,True,7.721890
synthetic,synthetic_varied_density.csv,7,0,0,1,1,True,7.525465
synthetic,synthetic_varied_density.csv,8,0,0,1,1,True,8.181881
synthetic,synthetic_varied_density.csv,9,0,0,1,1,False,1.082935
synthetic,synthetic_varied_density.csv,10,0,0,1,1,True,8.461655
synthetic,synthetic_varied_density.csv,11,0,0,1,1,False,1.126870
synthetic,synthetic_varied_density.csv,12,0,0,1,1,True,8.983224
synthetic,synthetic_varied_density.csv,13,0,0,1,1,True,7.857083
synthetic,synthetic_varied_density.csv,14,0,0,1,1,True,7.794695
synthetic,synthetic_varied_density.csv,15,0,0,1,-1,False,1.037988
synthetic,synthetic_varied_density.csv,16,0,0,1,1,True,8.456248
synthetic,synthetic_varied_density.csv,17,0,0,1,1,False,1.127790
synthetic,synthetic_varied_density.csv,18,0,0,1,1,True,8.151408
synthetic,synthetic_varied_density.csv,19,0,0,1,1,False,1.110269
synthetic,synthetic_varied_density.csv,20,0,0,1,1,True,8.396788
synthetic,synthetic_varied_density.csv,21,0,0,1,1,True,8.173095
synthetic,synthetic_varied_density.csv,22,0,0,1,1,True,8.153129
synthetic,synthetic_varied_density.csv,23,0,0,1,1,False,1.114002
synthetic,synthetic_varied_density.csv,24,0,0,1,1,True,8.552715
synthetic,synthetic_varied_density.csv,25,0,0,1,1,True,8.085313
synthetic,synthetic_varied_density.csv,26,0,0,1,1,False,1.141231
synthetic,synthetic_varied_density.csv,27,0,0,1,1,True,7.791369
synthetic,synthetic_varied_density.csv,28,0,0,1,1,False,1.134418
synthetic,synthetic_varied_density.csv,29,0,0,1,1,False,1.015059
synthetic,synthetic_varied_density.csv,30,0,0,1,1,False,1.039681
synthetic,synthetic_varied_density.csv,31,0,0,1,1,True,8.396282
synthetic,synthetic_varied_density.csv,32,0,0,1,1,False,1.026924
synthetic,synthetic_varied_density.csv,33,0,0,1,1,True,7.609884
synthetic,synthetic_varied_density.csv,34,0,0,1,1,False,1.067479
synthetic,synthetic_varied_density.csv,35,0,0,1,1,False,1.036789
synthetic,synthetic_varied_density.csv,36,0,0,1,1,False,1.106537
synthetic,synthetic_varied_density.csv,37,0,0,1,1,True,7.442522
synthetic,synthetic_varied_density.csv,38,0,0,1,1,True,7.972925
synthetic,synthetic_varied_density.csv,39,0,0,1,1,True,8.063127
synthetic,synthetic_varied_density.csv,40,0,0,1,1,True,7.903155
synthetic,synthetic_varied_density.csv,41,0,0,1,1,True,8.505794
synthetic,synthetic_varied_density.csv,42,0,0,1,1,False,1.036719
synthetic,synthetic_varied_density.csv,43,0,0,1,1,True,7.680493
synthetic,synthetic_varied_density.csv,44,0,0,1,1,True,8.038639
synthetic,synthetic_varied_density.csv,45,0,0,1,1,True,7.770381
synthetic,synthetic_varied_density.csv,46,0,0,1,1,True,7.624813
synthetic,synthetic_varied_density.csv,47,0,0,1,-1,False,1.077649
synthetic,synthetic_varied_density.csv,48,0,0,1,1,False,1.073591
synthetic,synthetic_varied_density.csv,49,0,0,1,1,True,8.214935
synthetic,synthetic_varied_density.csv,50,0,0,1,1,False,1.080485
synthetic,synthetic_varied_density.csv,51,0,0,1,1,True,7.510662
synthetic,synthetic_varied_density.csv,52,0,0,1,1,False,1.019763
synthetic,synthetic_varied_density.csv,53,0,0,1,1,False,1.018850
synthetic,synthetic_varied_density.csv,54,0,0,1,1,False,1.142837
synthetic,synthetic_varied_density.csv,55,0,0,1,1,True,7.919748
synthetic,synthetic_varied_density.csv,56,0,0,1,1,False,1.142981
synthetic,synthetic_varied_density.csv,57,0,0,1,1,True,8.508918
synthetic,synthetic_varied_density.csv,58,0,0,1,1,True,7.928576
